0.001	9
0.002	12
0.003	13
0.004	7
0.005	10
0.006	6
0.007	13
0.008	12
0.009	7
0.01	10
0.011	7
0.012	12
0.013	11
0.014	9
0.015	9
0.016	8
0.017	11
0.018	9
0.019	14
0.02	11
0.021	9
0.022	11
0.023	11
0.024	14
0.025	6
0.026	11
0.027	8
0.028	7
0.029	11
0.03	10
0.031	9
0.032	11
0.033	14
0.034	7
0.035	11
0.036	10
0.037	13
0.038	1
0.039	11
0.04	11
0.041	7
0.042	12
0.043	11
0.044	11
0.045	8
0.046	10
0.047	17
0.048	9
0.049	23
0.05	14
0.051	11
0.052	17
0.053	14
0.054	17
0.055	11
0.056	19
0.057	21
0.058	11
0.059	8
0.06	13
0.061	13
0.062	8
0.063	18
0.064	9
0.065	13
0.066	9
0.067	14
0.068	10
0.069	14
0.07	7
0.071	13
0.072	7
0.073	10
0.074	12
0.075	12
0.076	14
0.077	10
0.078	10
0.079	16
0.08	11
0.081	11
0.082	11
0.083	13
0.084	10
0.085	8
0.086	6
0.087	13
0.088	12
0.089	12
0.09	9
0.091	7
0.092	9
0.093	9
0.094	20
0.095	14
0.096	10
0.097	9
0.098	11
0.099	6
0.1	11
0.101	5
0.102	4
0.103	9
0.104	6
0.105	9
0.106	7
0.107	12
0.108	14
0.109	8
0.11	13
0.111	8
0.112	12
0.113	9
0.114	11
0.115	10
0.116	11
0.117	18
0.118	8
0.119	15
0.12	18
0.121	8
0.122	4
0.123	14
0.124	12
0.125	8
0.126	14
0.127	12
0.128	9
0.129	11
0.13	11
0.131	7
0.132	9
0.133	13
0.134	8
0.135	12
0.136	16
0.137	16
0.138	12
0.139	15
0.14	19
0.141	14
0.142	16
0.143	27
0.144	10
0.145	14
0.146	8
0.147	14
0.148	10
0.149	15
0.15	13
0.151	9
0.152	7
0.153	9
0.154	15
0.155	11
0.156	6
0.157	6
0.158	11
0.159	11
0.16	7
0.161	11
0.162	15
0.163	12
0.164	18
0.165	9
0.166	10
0.167	11
0.168	15
0.169	10
0.17	6
0.171	12
0.172	10
0.173	18
0.174	7
0.175	13
0.176	8
0.177	14
0.178	12
0.179	13
0.18	10
0.181	14
0.182	9
0.183	10
0.184	12
0.185	11
0.186	11
0.187	10
0.188	6
0.189	15
0.19	18
0.191	10
0.192	14
0.193	7
0.194	17
0.195	12
0.196	13
0.197	7
0.198	13
0.199	18
0.2	12
0.201	8
0.202	13
0.203	12
0.204	15
0.205	16
0.206	12
0.207	11
0.208	10
0.209	15
0.21	11
0.211	14
0.212	18
0.213	11
0.214	11
0.215	7
0.216	6
0.217	12
0.218	11
0.219	15
0.22	17
0.221	14
0.222	7
0.223	13
0.224	12
0.225	8
0.226	12
0.227	18
0.228	18
0.229	13
0.23	13
0.231	16
0.232	12
0.233	13
0.234	16
0.235	15
0.236	10
0.237	12
0.238	16
0.239	15
0.24	12
0.241	11
0.242	12
0.243	12
0.244	18
0.245	12
0.246	8
0.247	12
0.248	12
0.249	12
0.25	15
0.251	18
0.252	18
0.253	13
0.254	20
0.255	15
0.256	16
0.257	15
0.258	17
0.259	12
0.26	19
0.261	17
0.262	14
0.263	20
0.264	16
0.265	20
0.266	11
0.267	10
0.268	14
0.269	11
0.27	16
0.271	8
0.272	15
0.273	11
0.274	10
0.275	10
0.276	10
0.277	14
0.278	10
0.279	11
0.28	9
0.281	8
0.282	9
0.283	11
0.284	9
0.285	12
0.286	16
0.287	12
0.288	11
0.289	15
0.29	13
0.291	9
0.292	13
0.293	10
0.294	12
0.295	17
0.296	14
0.297	11
0.298	13
0.299	9
0.3	7
0.301	8
0.302	10
0.303	10
0.304	17
0.305	11
0.306	11
0.307	9
0.308	12
0.309	8
0.31	6
0.311	12
0.312	9
0.313	14
0.314	12
0.315	16
0.316	16
0.317	11
0.318	10
0.319	17
0.32	11
0.321	12
0.322	21
0.323	15
0.324	12
0.325	11
0.326	10
0.327	19
0.328	12
0.329	17
0.33	16
0.331	22
0.332	11
0.333	14
0.334	16
0.335	14
0.336	13
0.337	17
0.338	10
0.339	11
0.34	17
0.341	13
0.342	17
0.343	10
0.344	17
0.345	9
0.346	15
0.347	14
0.348	14
0.349	11
0.35	9
0.351	14
0.352	20
0.353	8
0.354	14
0.355	14
0.356	18
0.357	25
0.358	14
0.359	11
0.36	5
0.361	15
0.362	13
0.363	14
0.364	11
0.365	19
0.366	10
0.367	9
0.368	18
0.369	12
0.37	15
0.371	11
0.372	21
0.373	11
0.374	12
0.375	15
0.376	17
0.377	7
0.378	13
0.379	11
0.38	15
0.381	8
0.382	11
0.383	19
0.384	14
0.385	11
0.386	15
0.387	9
0.388	16
0.389	7
0.39	18
0.391	11
0.392	8
0.393	13
0.394	18
0.395	11
0.396	10
0.397	10
0.398	16
0.399	17
0.4	9
0.401	15
0.402	5
0.403	8
0.404	9
0.405	13
0.406	14
0.407	11
0.408	17
0.409	23
0.41	12
0.411	9
0.412	11
0.413	13
0.414	8
0.415	16
0.416	11
0.417	11
0.418	21
0.419	23
0.42	9
0.421	14
0.422	10
0.423	16
0.424	23
0.425	13
0.426	7
0.427	17
0.428	12
0.429	19
0.43	18
0.431	14
0.432	16
0.433	17
0.434	14
0.435	12
0.436	13
0.437	13
0.438	10
0.439	14
0.44	18
0.441	15
0.442	13
0.443	22
0.444	23
0.445	9
0.446	22
0.447	17
0.448	12
0.449	16
0.45	12
0.451	14
0.452	12
0.453	27
0.454	12
0.455	13
0.456	14
0.457	12
0.458	9
0.459	15
0.46	11
0.461	14
0.462	11
0.463	5
0.464	11
0.465	11
0.466	13
0.467	14
0.468	14
0.469	13
0.47	18
0.471	8
0.472	13
0.473	18
0.474	7
0.475	12
0.476	24
0.477	16
0.478	14
0.479	18
0.48	4
0.481	8
0.482	8
0.483	17
0.484	12
0.485	11
0.486	17
0.487	9
0.488	10
0.489	13
0.49	15
0.491	16
0.492	20
0.493	12
0.494	20
0.495	19
0.496	10
0.497	16
0.498	16
0.499	17
0.5	27
0.501	17
0.502	13
0.503	15
0.504	20
0.505	14
0.506	14
0.507	24
0.508	21
0.509	14
0.51	11
0.511	19
0.512	12
0.513	16
0.514	17
0.515	19
0.516	16
0.517	17
0.518	20
0.519	15
0.52	18
0.521	12
0.522	14
0.523	11
0.524	14
0.525	19
0.526	10
0.527	19
0.528	17
0.529	16
0.53	22
0.531	17
0.532	18
0.533	24
0.534	17
0.535	21
0.536	13
0.537	26
0.538	17
0.539	14
0.54	10
0.541	10
0.542	19
0.543	19
0.544	14
0.545	16
0.546	14
0.547	16
0.548	18
0.549	11
0.55	17
0.551	11
0.552	10
0.553	20
0.554	15
0.555	18
0.556	20
0.557	14
0.558	11
0.559	15
0.56	11
0.561	17
0.562	13
0.563	17
0.564	12
0.565	17
0.566	17
0.567	13
0.568	11
0.569	13
0.57	10
0.571	11
0.572	14
0.573	13
0.574	16
0.575	16
0.576	20
0.577	17
0.578	14
0.579	17
0.58	20
